global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
21,support,0,1296635.156,1296635.3478762,1296636.756,1296636.9478762,1296636.765,1296636.9511263,0.008999999845400453,1296636.756,1296636.843,1296637.0340634,1.6870000001508743,1.6861872000154108,0.087000000057742,0,0,2,measured_from_next_stimulus_flip
22,support,0,1296636.843,1296637.0340634,1296638.4430000002,1296638.6340634,1296638.453,1296638.639291,0.009999999776482582,1296638.4430000002,1296638.515,1296638.7117937,1.6719999997876585,1.6777302999980748,0.0719999996945262,0,0,2,measured_from_next_stimulus_flip
23,support,0,1296638.515,1296638.7117937,1296640.115,1296640.3117937,1296640.125,1296640.3113417,0.010000000009313226,1296640.115,1296640.187,1296640.3777036,1.672000000020489,1.6659099000971764,0.07199999992735684,0,0,2,measured_from_next_stimulus_flip
24,support,0,1296640.187,1296640.3777036,1296641.787,1296641.9777036002,1296641.796,1296641.9822625,0.009000000078231096,1296641.787,1296641.89,1296642.083277,1.702999999979511,1.705573400016874,0.10299999988637865,0,0,2,measured_from_next_stimulus_flip
25,support,0,1296641.89,1296642.083277,1296643.49,1296643.6832770002,1296643.5,1296643.6873309,0.010000000009313226,1296643.49,1296643.625,1296643.8217423,1.7350000001024455,1.7384652998298407,0.13500000000931323,0,0,2,measured_from_next_stimulus_flip
26,support,0,1296643.625,1296643.8217423,1296645.225,1296645.4217423,1296645.234,1296645.4205958,0.008999999845400453,1296645.225,1296645.296,1296645.4916515,1.671000000089407,1.6699092001654208,0.07099999999627471,0,0,2,measured_from_next_stimulus_flip
27,support,0,1296645.296,1296645.4916515,1296646.8960000002,1296647.0916515002,1296646.906,1296647.0924537,0.009999999776482582,1296646.8960000002,1296646.984,1296647.1781025,1.6879999998491257,1.6864509999286383,0.08799999975599349,0,0,2,measured_from_next_stimulus_flip
28,support,0,1296646.984,1296647.1781025,1296648.584,1296648.7781025001,1296648.593,1296648.7798874,0.009000000078231096,1296648.584,1296648.656,1296648.8502695,1.672000000020489,1.6721669998951256,0.07199999992735684,0,0,2,measured_from_next_stimulus_flip
29,support,0,1296648.656,1296648.8502695,1296650.256,1296650.4502695,1296650.265,1296650.4527995,0.008999999845400453,1296650.256,1296650.312,1296650.513545,1.6559999999590218,1.6632755000609905,0.05599999986588955,0,0,2,measured_from_next_stimulus_flip
30,support,0,1296650.312,1296650.513545,1296651.912,1296652.113545,1296651.921,1296652.1084977,0.009000000078231096,1296651.912,1296651.984,1296652.1765043,1.672000000020489,1.662959299981594,0.07199999992735684,0,0,2,measured_from_next_stimulus_flip
31,support,0,1296651.984,1296652.1765043,1296653.584,1296653.7765043,1296653.593,1296653.7796928,0.009000000078231096,1296653.584,1296653.64,1296653.8355695,1.6559999999590218,1.6590652000159025,0.05599999986588955,0,0,2,measured_from_next_stimulus_flip
32,support,0,1296653.64,1296653.8355695,1296655.24,1296655.4355695,1296655.25,1296655.435468,0.010000000009313226,1296655.24,1296655.312,1296655.5012959,1.672000000020489,1.6657263999804854,0.07199999992735684,0,0,2,measured_from_next_stimulus_flip
33,support,0,1296655.312,1296655.5012959,1296656.912,1296657.1012959,1296656.921,1296657.1090605,0.009000000078231096,1296656.912,1296657.0,1296657.1927638,1.6880000000819564,1.69146790006198,0.08799999998882413,0,0,2,measured_from_next_stimulus_flip
