global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
16,query,0,1399325.0,1399325.1897549,1399326.6,1399326.7897549002,1399326.609,1399326.7991147,0.008999999845400453,1399326.6,1399326.609,1399326.7991544,1.6089999999385327,1.6093994998373091,0.008999999845400453,0,0,2,measured_from_next_stimulus_flip
17,query,0,1399326.609,1399326.7991544,1399328.209,1399328.3991544,1399328.203,1399328.3990448,0.0,1399328.209,1399328.203,1399328.3990881,1.5940000000409782,1.599933700170368,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
18,query,0,1399328.203,1399328.3990881,1399329.803,1399329.9990881002,1399329.812,1399330.0105255,0.008999999845400453,1399329.803,1399329.812,1399330.010567,1.6089999999385327,1.6114788998384029,0.008999999845400453,0,0,2,measured_from_next_stimulus_flip
19,query,0,1399329.812,1399330.010567,1399331.412,1399331.610567,1399331.406,1399331.5978106,0.0,1399331.412,1399331.406,1399331.5978503,1.5940000000409782,1.5872833000030369,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
20,query,0,1399331.406,1399331.5978503,1399333.006,1399333.1978503,1399333.0,1399333.1897442,0.0,1399333.006,1399333.093,1399333.2935324,1.6870000001508743,1.695682100020349,,1,0,2,measured_from_next_stimulus_flip
21,query,0,1399333.093,1399333.2935324,1399334.6930000002,1399334.8935324,1399334.687,1399334.8824016,0.0,1399334.6930000002,1399334.687,1399334.8824453,1.5939999998081475,1.5889129000715911,-0.006000000284984708,0,0,2,measured_from_next_stimulus_flip
22,query,0,1399334.687,1399334.8824453,1399336.287,1399336.4824453,1399336.281,1399336.4730373,0.0,1399336.287,1399336.281,1399336.4730782,1.5940000000409782,1.590632899897173,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
23,query,0,1399336.281,1399336.4730782,1399337.881,1399338.0730782,1399337.875,1399338.0650321,0.0,1399337.881,1399337.875,1399338.0650808,1.5940000000409782,1.5920026001986116,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
24,query,0,1399337.875,1399338.0650808,1399339.475,1399339.6650808002,1399339.484,1399339.6837047,0.008999999845400453,1399339.475,1399339.484,1399339.6837511,1.6089999999385327,1.6186702998820692,0.008999999845400453,0,0,2,measured_from_next_stimulus_flip
25,query,0,1399339.484,1399339.6837511,1399341.084,1399341.2837511,1399341.078,1399341.2777053,0.0,1399341.084,1399341.078,1399341.2777512,1.5940000000409782,1.5940000999253243,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
26,query,0,1399341.078,1399341.2777512,1399342.678,1399342.8777512,1399342.703,1399342.8885315,0.024999999906867743,1399342.678,1399342.703,1399342.8885758,1.625,1.6108246000949293,0.024999999906867743,0,0,2,measured_from_next_stimulus_flip
27,query,0,1399342.703,1399342.8885758,1399344.303,1399344.4885758,1399344.312,1399344.5069473,0.008999999845400453,1399344.303,1399344.312,1399344.5069943,1.6089999999385327,1.6184185000602156,0.008999999845400453,0,0,2,measured_from_next_stimulus_flip
28,query,0,1399344.312,1399344.5069943,1399345.912,1399346.1069943001,1399345.906,1399346.099894,0.0,1399345.912,1399345.906,1399346.0999364,1.5940000000409782,1.5929421000182629,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
29,query,0,1399345.906,1399346.0999364,1399347.506,1399347.6999364002,1399347.5,1399347.6960269,0.0,1399347.506,1399347.5,1399347.6960695,1.5940000000409782,1.5961330998688936,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
30,query,0,1399347.5,1399347.6960695,1399349.1,1399349.2960695,1399349.109,1399349.2977344,0.008999999845400453,1399349.1,,,,,,0,0,2,terminal_no_following_stimulus_flip
