global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_next_trial_within_block,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,next_onset_schedule_drift_timebase,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
13,support,0,6199.063882400001,6199.0981824,6200.663882400001,6200.6981824,6200.6638878,6200.6981942,5.399999281507917e-06,6200.663882400001,6200.6639351,6200.6982353,1,1.600052699999651,1.6000529000002643,5.2900000264255453e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
14,support,0,6200.6639351,6200.6982353,6202.263935100001,6202.298235300001,6202.2644767,6202.2987828,0.0005415999994511367,6202.263935100001,6202.2645295,6202.2988297,1,1.6005943999998635,1.6005943999998635,0.0005943999998634375,lsl_flip,0,0,2,measured_from_next_stimulus_flip
15,support,0,6202.2645295,6202.2988297,6203.864529500001,6203.8988297000005,6203.863967800001,6203.898273,0.0,6203.864529500001,6203.864009600001,6203.8983096,1,1.5994801000006191,1.5994799000000057,-0.0005200999999943612,lsl_flip,0,0,2,measured_from_next_stimulus_flip
16,support,0,6203.864009600001,6203.8983096,6205.464009600001,6205.4983096000005,6205.4639051,6205.4982104,0.0,6205.464009600001,6205.463949800001,6205.4982498,1,1.5999401999997644,1.5999401999997644,-5.980000023564358e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
17,support,0,6205.463949800001,6205.4982498,6207.063949800001,6207.0982498,6207.064203000001,6207.098508,0.00025319999986095354,6207.063949800001,6207.064244800001,6207.0985448,1,1.6002950000001874,1.6002950000001874,0.00029500000018733985,lsl_flip,0,0,2,measured_from_next_stimulus_flip
18,support,0,6207.064244800001,6207.0985448,6208.664244800001,6208.6985448000005,6208.6637288,6208.6980341,0.0,6208.664244800001,6208.6637747,6208.6980747,1,1.5995298999996521,1.5995298999996521,-0.0004701000003479727,lsl_flip,0,0,2,measured_from_next_stimulus_flip
19,support,0,6208.6637747,6208.6980747,6210.263774700001,6210.2980747,6210.263875000001,6210.2981811,0.00010029999975813553,6210.263774700001,6210.263922700001,6210.2982228,1,1.6001480000004449,1.6001481000002968,0.00014810000029674697,lsl_flip,0,0,2,measured_from_next_stimulus_flip
20,support,0,6210.263922700001,6210.2982228,6211.863922700001,6211.8982228,6211.86434,6211.8986448,0.00041729999884410063,6211.863922700001,6211.864380100001,6211.8986801,1,1.6004573999998684,1.6004573000000164,0.0004573000000163141,lsl_flip,0,0,2,measured_from_next_stimulus_flip
21,support,0,6211.864380100001,6211.8986801,6213.464380100001,6213.4986801000005,6213.464220600001,6213.4985258,0.0,6213.464380100001,6213.4642627,6213.4985627,1,1.599882599999546,1.599882599999546,-0.00011740000045401544,lsl_flip,0,0,2,measured_from_next_stimulus_flip
22,support,0,6213.4642627,6213.4985627,6215.064262700001,6215.0985627,6215.0641216,6215.0984281,0.0,6215.064262700001,6215.0641733,6215.0984732,1,1.5999105999999301,1.5999105000000782,-8.949999992191593e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
